,k,Interim_Expectation,Posterior_Expectation,d,d/k
0,2,3.5,3.333333333,-0.166666667,-0.083333333
1,3,5,4.8,-0.2,-0.066666667
2,4,6.5,6.285714286,-0.214285714,-0.053571429
3,5,8,7.777777778,-0.222222222,-0.044444444
4,6,9.5,9.272727273,-0.227272727,-0.037878788
5,7,11,10.76923077,-0.230769231,-0.032967033
6,8,12.5,12.26666667,-0.233333333,-0.029166667
7,9,14,13.76470588,-0.235294118,-0.026143791
8,10,15.5,15.26315789,-0.236842105,-0.023684211
9,11,17,16.76190476,-0.238095238,-0.021645022
10,12,18.5,18.26086957,-0.239130435,-0.019927536
11,13,20,19.76,-0.24,-0.018461538
12,14,21.5,21.25925926,-0.240740741,-0.017195767
13,15,23,22.75862069,-0.24137931,-0.016091954
14,16,24.5,24.25806452,-0.241935484,-0.015120968
15,17,26,25.75757576,-0.242424242,-0.01426025
16,18,27.5,27.25714286,-0.242857143,-0.013492063
17,19,29,28.75675676,-0.243243243,-0.012802276
18,20,30.5,30.25641026,-0.243589744,-0.012179487
19,21,32,31.75609756,-0.243902439,-0.011614402
20,22,33.5,33.25581395,-0.244186047,-0.011099366
21,23,35,34.75555556,-0.244444444,-0.010628019
22,24,36.5,36.25531915,-0.244680851,-0.010195035
23,25,38,37.75510204,-0.244897959,-0.009795918
24,26,39.5,39.25490196,-0.245098039,-0.009426848
25,27,41,40.75471698,-0.245283019,-0.009084556
26,28,42.5,42.25454545,-0.245454545,-0.008766234
27,29,44,43.75438596,-0.245614035,-0.008469449
28,30,45.5,45.25423729,-0.245762712,-0.00819209
29,31,47,46.75409836,-0.245901639,-0.007932311
30,32,48.5,48.25396825,-0.246031746,-0.007688492
31,33,50,49.75384615,-0.246153846,-0.007459207
32,34,51.5,51.25373134,-0.246268657,-0.007243196
33,35,53,52.75362319,-0.246376812,-0.007039337
34,36,54.5,54.25352113,-0.246478873,-0.006846635
35,37,56,55.75342466,-0.246575342,-0.006664198
36,38,57.5,57.25333333,-0.246666667,-0.006491228
37,39,59,58.75324675,-0.246753247,-0.006327006
38,40,60.5,60.25316456,-0.246835443,-0.006170886
39,41,62,61.75308642,-0.24691358,-0.006022282
40,42,63.5,63.25301205,-0.246987952,-0.005880666
41,43,65,64.75294118,-0.247058824,-0.005745554
42,44,66.5,66.25287356,-0.247126437,-0.00561651
43,45,68,67.75280899,-0.247191011,-0.005493134
44,46,69.5,69.25274725,-0.247252747,-0.00537506
45,47,71,70.75268817,-0.247311828,-0.005261954
46,48,72.5,72.25263158,-0.247368421,-0.005153509
47,49,74,73.75257732,-0.24742268,-0.005049442
48,50,75.5,75.25252525,-0.247474747,-0.004949495
49,51,77,76.75247525,-0.247524752,-0.004853427
50,52,78.5,78.25242718,-0.247572816,-0.004761016
51,53,80,79.75238095,-0.247619048,-0.004672058
52,54,81.5,81.25233645,-0.247663551,-0.004586362
53,55,83,82.75229358,-0.247706422,-0.004503753
54,56,84.5,84.25225225,-0.247747748,-0.004424067
55,57,86,85.75221239,-0.247787611,-0.004347151
56,58,87.5,87.25217391,-0.247826087,-0.004272864
57,59,89,88.75213675,-0.247863248,-0.004201072
58,60,90.5,90.25210084,-0.24789916,-0.004131653
59,61,92,91.75206612,-0.247933884,-0.00406449
60,62,93.5,93.25203252,-0.24796748,-0.003999475
61,63,95,94.752,-0.248,-0.003936508
62,64,96.5,96.2519685,-0.248031496,-0.003875492
63,65,98,97.75193798,-0.248062016,-0.003816339
64,66,99.5,99.2519084,-0.248091603,-0.003758964
65,67,101,100.7518797,-0.248120301,-0.003703288
66,68,102.5,102.2518519,-0.248148148,-0.003649237
67,69,104,103.7518248,-0.248175182,-0.003596742
68,70,105.5,105.2517986,-0.248201439,-0.003545735
69,71,107,106.751773,-0.24822695,-0.003496154
70,72,108.5,108.2517483,-0.248251748,-0.003447941
71,73,110,109.7517241,-0.248275862,-0.003401039
72,74,111.5,111.2517007,-0.24829932,-0.003355396
73,75,113,112.7516779,-0.248322148,-0.003310962
74,76,114.5,114.2516556,-0.248344371,-0.003267689
75,77,116,115.751634,-0.248366013,-0.003225533
76,78,117.5,117.2516129,-0.248387097,-0.00318445
77,79,119,118.7515924,-0.248407643,-0.003144401
78,80,120.5,120.2515723,-0.248427673,-0.003105346
79,81,122,121.7515528,-0.248447205,-0.003067249
80,82,123.5,123.2515337,-0.248466258,-0.003030076
81,83,125,124.7515152,-0.248484848,-0.002993793
82,84,126.5,126.251497,-0.248502994,-0.002958369
83,85,128,127.7514793,-0.24852071,-0.002923773
84,86,129.5,129.251462,-0.248538012,-0.002889977
85,87,131,130.7514451,-0.248554913,-0.002856953
86,88,132.5,132.2514286,-0.248571429,-0.002824675
87,89,134,133.7514124,-0.248587571,-0.002793119
88,90,135.5,135.2513966,-0.248603352,-0.002762259
89,91,137,136.7513812,-0.248618785,-0.002732075
90,92,138.5,138.2513661,-0.24863388,-0.002702542
91,93,140,139.7513514,-0.248648649,-0.002673641
92,94,141.5,141.2513369,-0.248663102,-0.002645352
93,95,143,142.7513228,-0.248677249,-0.002617655
94,96,144.5,144.2513089,-0.248691099,-0.002590532
95,97,146,145.7512953,-0.248704663,-0.002563966
96,98,147.5,147.2512821,-0.248717949,-0.002537938
97,99,149,148.751269,-0.248730964,-0.002512434
98,100,150.5,150.2512563,-0.248743719,-0.002487437
